religion,quoteID,date,topic
Judaism,2015-07-31-100955,2015-07-31 06:49:05,middleeast
Catholic Church,2015-07-31-113285,2015-07-31 03:18:41,us
Baptists,2015-12-29-014287,2015-12-29 03:51:28,nyregion
Presbyterianism,2017-12-29-040948,2017-12-29 17:15:03,opinion
Judaism,2017-06-14-004435,2017-06-14 02:12:04,politics
Catholic Church,2017-05-16-091268,2017-05-16 00:04:48,nyregion
Judaism,2017-11-04-060427,2017-11-04 00:31:30,politics
other,2017-06-01-115226,2017-06-01 20:44:14,movies
Presbyterianism,2017-12-13-050592,2017-12-13 05:51:57,us
other,2017-09-07-064274,2017-09-07 19:17:36,tennis
other,2017-05-14-065564,2017-05-14 19:55:05,opinion
other,2017-08-09-084198,2017-08-09 09:00:25,politics
Islam,2017-06-25-067464,2017-06-25 11:34:05,asia
Presbyterianism,2017-06-12-076440,2017-06-12 22:44:02,opinion
Judaism,2017-06-13-003013,2017-06-13 09:00:02,magazine
other,2017-12-05-019423,2017-12-05 10:00:22,magazine
Catholic Church,2017-02-16-097630,2017-02-16 20:50:41,politics
other,2017-08-17-073122,2017-08-17 13:23:44,us
Methodism,2017-03-13-021569,2017-03-13 09:00:02,magazine
Anglicanism,2017-07-17-081439,2017-07-17 10:49:51,dealbook
Islam,2017-02-26-002797,2017-02-26 13:02:58,movies
other,2017-10-25-052016,2017-10-25 00:41:46,politics
Islam,2017-10-23-117033,2017-10-23 05:00:28,television
Catholic Church,2017-08-17-065079,2017-08-17 09:31:07,briefing
Christianity,2017-02-03-010364,2017-02-03 21:39:10,music
Judaism,2017-03-13-084569,2017-03-13 09:00:02,magazine
atheism,2017-02-02-002264,2017-02-02 01:07:30,europe
other,2017-07-26-025723,2017-07-26 09:00:22,politics
Catholic Church,2017-01-31-006588,2017-01-31 16:43:55,europe
Catholic Church,2017-08-14-005426,2017-08-14 23:58:15,americas
Judaism,2017-11-13-061524,2017-11-13 10:00:01,television
Christianity,2017-03-25-004050,2017-03-25 12:46:35,media
other,2017-09-12-099222,2017-09-12 19:36:25,us
Presbyterianism,2017-02-15-019357,2017-02-15 02:11:30,politics
other,2017-10-19-109875,2017-10-19 09:05:45,politics
